"","genes","PPEE","PPDE","PostFC","RealFC","Direction","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"1959","gene-ACX60_RS09955_ACX60_RS09955",0.927728821689398,0.0722711783106018,0.772308121875531,0.759600493699834,"D Over L",14.2435127606912,10.2522775952884,3.55469133463711,1.38835776242631,10.1059755244934,9.80561446860187
"1960","gene-ACX60_RS09960_ACX60_RS09960",0.77293084364546,0.22706915635454,0.69082501418619,0.649852994963276,"D Over L",9.74556136257817,2.05045551905767,0,5.55343104970524,1.34746340326578,0.754278036046298
"1961","gene-ACX60_RS09965_ACX60_RS09965",0.120308377219301,0.879691622780699,0.538999226546548,0.534797078120091,"D Over L",71.2175638034559,68.690259888432,31.992222011734,27.7671552485262,24.928072960417,39.2224578744075
"1962","gene-ACX60_RS09970_ACX60_RS09970",0.959192422819103,0.0408075771808972,0.930317460504442,0.929882468107663,"D Over L",104.952199289303,89.1948150790087,56.8750613541937,76.359676933447,86.911389510643,70.1478573523057
"1963","gene-ACX60_RS09975_ACX60_RS09975",0.926343403353069,0.0736565966469312,0.878151868136405,0.877841515992659,"D Over L",269.127425320428,196.843729829536,149.297036054759,190.205013452404,189.992339860475,159.906943641815
"1964","gene-ACX60_RS09985_ACX60_RS09985",0.625514006919219,0.374485993080781,0.634774726153231,0.629247896688109,"D Over L",53.2257582110039,30.7568327858651,19.5508023405041,27.7671552485262,15.4958291375565,21.8740630453426
"1965","gene-ACX60_RS09990_ACX60_RS09990",0.789374148468826,0.210625851531174,0.653310899013149,0.647254048287546,"D Over L",47.2284896801865,31.7820605453939,10.6640740039113,15.2719353866894,20.8856827506196,21.8740630453426
"1966","gene-ACX60_RS09995_ACX60_RS09995",0.929127381253245,0.0708726187467546,0.849163907986458,0.848808322384907,"D Over L",267.628108187724,246.054662286921,151.074381722077,154.10771162932,203.466973893133,206.672181876685
"1967","gene-ACX60_RS10000_ACX60_RS10000",NA,NA,0.652401879196579,0.651437798522235,"D Over L",227.146545604707,181.465313436604,156.406418724033,145.777565054762,109.144535664528,113.141705406945
"1968","gene-ACX60_RS10010_ACX60_RS10010",0.801147848881244,0.198852151118756,0.579387050619005,0.564374202816984,"D Over L",24.7387326896215,10.2522775952884,8.88672833659277,4.16507328727893,10.7797072261263,9.80561446860187
