"","genes","PPEE","PPDE","PostFC","RealFC","Direction","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"516","gene-ACX60_RS02610_ACX60_RS02610",3.96503063559983e-06,0.999996034969364,0.380229018061849,0.380143246209452,"D Over L",3680.11206814141,4559.53218329839,3127.48235726607,975.755686251583,1917.8161844921,1427.545942661
"542","gene-ACX60_RS02750_ACX60_RS02750",5.6621374255883e-15,0.999999999999994,0.244513303380042,0.244396779919785,"D Over L",2856.37159273779,3766.70699795823,3576.39048446855,1048.85363321166,1092.64528478028,351.195812773092
"545","gene-ACX60_RS02765_ACX60_RS02765",0.0103203583275748,0.989679641672425,0.326896786886198,0.32236404604192,"D Over L",62.7934450346242,61.0535627263441,109.730162591649,25.029461701642,29.4354871977447,20.811603719887
"547","gene-ACX60_RS02775_ACX60_RS02775",0.00109376962334584,0.998906230376654,0.494942874311903,0.494139168964786,"D Over L",357.776605429835,256.871696836448,373.895368830803,175.206231911494,188.387118065566,124.869622319322
"552","gene-ACX60_RS02800_ACX60_RS02800",1.42904577060676e-11,0.99999999998571,0.337872052591543,0.337336791291871,"D Over L",578.283819388632,601.600959547391,766.079098093548,239.567704858573,267.274223755522,149.583401736688
"553","gene-ACX60_RS02805_ACX60_RS02805",0.00120947728009835,0.998790522719902,2.09676175302509,2.09828056988165,"D Over L",400.855829348938,324.62626034983,410.472089694686,730.621905862216,611.080714225181,1041.88091122684
"554","gene-ACX60_RS02810_ACX60_RS02810",0.00190144875799858,0.998098551242001,2.64804901200777,2.71767348679071,"D Over L",11.6825014017905,16.3802241460923,9.14418021597074,25.029461701642,30.6129066856545,45.5253831372527
"555","gene-ACX60_RS02815_ACX60_RS02815",0.00013340713285015,0.99986659286715,3.48611411256738,3.49525805003872,"D Over L",155.523299911337,92.3248997325204,179.835544247424,436.22776108576,348.516168421298,710.195976941142
"568","gene-ACX60_RS02880_ACX60_RS02880",4.31658658973655e-05,0.999956834134103,1.92648888356426,1.92871985987162,"D Over L",225.61830832208,231.556804974305,196.091864631372,381.401321167878,354.403265860847,524.192268694653
"575","gene-ACX60_RS02915_ACX60_RS02915",0.00146677608893564,0.998533223911064,2.09465275104642,2.10229617379513,"D Over L",85.4282915005933,48.3961167952728,91.4418021597073,156.1361658531,197.806473968845,119.66672138935
"576","gene-ACX60_RS02920_ACX60_RS02920",2.24989329833392e-07,0.99999977501067,1.94337602085333,1.9493264211885,"D Over L",97.8409492399958,80.4120094444532,71.1214016797724,154.94428672445,141.290338549175,189.905883943968
"579","gene-ACX60_RS02935_ACX60_RS02935",0,1,1.85921825019268,1.8610977621748,"D Over L",259.93565618984,262.083586337477,197.107884655369,475.559772331198,417.983918207975,444.848029512584
"586","gene-ACX60_RS02975_ACX60_RS02975",1.36732150968211e-06,0.99999863267849,0.498978065150328,0.498889883248449,"D Over L",3090.75177711121,2585.84174815357,3261.42427702956,1727.0328574133,1696.66148207801,1035.37728506438
"629","gene-ACX60_RS03190_ACX60_RS03190",0.00275276287621196,0.997247237123788,0.304862696377582,0.304605469647842,"D Over L",1530.40768363456,944.841110972325,1776.00300194632,401.663266354921,599.306519346083,293.963902543403
"643","gene-ACX60_RS03260_ACX60_RS03260",2.17251571177357e-08,0.999999978274843,0.489197109266764,0.489184745619166,"D Over L",18943.1760230034,21024.0176915095,25026.6052310879,10321.6732541057,11663.5174472344,9808.76897822922
"647","gene-ACX60_RS03280_ACX60_RS03280",0.00156647365489027,0.99843352634511,0.295137123496427,0.29491914244714,"D Over L",1815.16865530321,1209.15836423882,2062.5206487134,675.795465944334,722.935565576611,101.456568134449
"650","gene-ACX60_RS03295_ACX60_RS03295",6.79265329317502e-07,0.999999320734671,0.33585454556549,0.335853212619479,"D Over L",248521.85232029,218761.616249278,316535.958376067,91680.5344548573,111937.270715584,59630.4475584061
"656","gene-ACX60_RS03330_mscL",0.000124994801191547,0.999875005198808,0.409211102848441,0.409114729321285,"D Over L",3103.89459118822,2812.93121926985,3726.76144802007,1623.33937322078,1774.37116828005,547.605322879526
"667","gene-ACX60_RS03385_ACX60_RS03385",0,1,0.173448375286082,0.173036689204878,"D Over L",920.727141728617,1186.07713930569,1051.58072483663,256.254012659668,234.306478094048,55.9311849971962
"670","gene-ACX60_RS03400_ACX60_RS03400",0,1,0.100108851615359,0.100011849262286,"D Over L",3970.59016393356,5704.78533669815,4918.55293616826,613.817751254554,767.677506117183,78.0435139495761
"682","gene-ACX60_RS03460_ACX60_RS03460",0.000459730161406657,0.999540269838593,0.20689683437631,0.206754611010878,"D Over L",2203.61182691274,3886.58045648191,2682.29286335142,466.024739302001,1203.32271664381,144.380500806716
"692","gene-ACX60_RS03510_ACX60_RS03510",2.05273439678466e-05,0.999979472656032,2.04300642733065,2.04992106155484,"D Over L",104.412356278503,64.7763409413651,68.0733416077821,134.682341537407,181.322601138108,170.395005456574
"693","gene-ACX60_RS03515_ACX60_RS03515",1.64535052249448e-13,0.999999999999835,4.60494117299478,4.61028638184365,"D Over L",522.061781392515,233.045916260314,305.822027223021,1542.29159247261,1295.16143670077,2053.84514210634
"714","gene-ACX60_RS03620_ACX60_RS03620",0.0433564267923512,0.956643573207649,2.00084991380909,2.00630032917016,"D Over L",101.491730928055,102.004123091575,85.3456820157269,178.781869297443,135.403241109626,265.347947428559
"727","gene-ACX60_RS03690_hchA",2.96429547574917e-14,0.99999999999997,0.388231473876541,0.387892263793676,"D Over L",929.48901777996,918.037107824174,989.603503372833,413.582057641418,495.693604410021,191.206609176461
"736","gene-ACX60_RS03735_ACX60_RS03735",0.0201479063036057,0.979852093696394,2.13970569944468,2.15004500508909,"D Over L",48.190318282386,77.4337868724364,47.7529411278472,108.461000707115,96.5483980086027,167.793554991589
"751","gene-ACX60_RS03810_ACX60_RS03810",2.37302312255938e-06,0.999997626976877,0.51948541501482,0.518402796170254,"D Over L",230.729402685363,244.958806548381,222.508385255288,114.420396350363,133.048402133806,114.463820459378
"778","gene-ACX60_RS03945_ACX60_RS03945",0.000240956834383632,0.999759043165616,2.18033337897679,2.1817113310144,"D Over L",441.014427917593,501.085947741824,405.391989574703,856.961093499076,803.000090754477,1279.91362877305
"795","gene-ACX60_RS04030_ACX60_RS04030",0,1,0.23003192558605,0.230024321701715,"D Over L",52454.4312940395,49443.7065849797,57397.0031956243,15699.4318825728,16562.759936427,4379.54185780371
"800","gene-ACX60_RS04055_ACX60_RS04055",0.00981244764034916,0.990187552359651,0.385449547266356,0.385087930301826,"D Over L",901.012920613096,661.909966630731,1110.50988622845,429.076486313863,452.129083357359,148.282676504195
"822","gene-ACX60_RS04165_ACX60_RS04165",0,1,0.340045950747848,0.339956110066953,"D Over L",4041.41532868192,3313.27261136867,4201.24279922655,1383.77166836221,1535.35501223437,1009.36278041452
"824","gene-ACX60_RS04175_glpD",0.000740514127427261,0.999259485872573,0.461010195804296,0.460708225447111,"D Over L",925.838236091901,829.434986306675,1052.59674486063,624.5446634124,467.435536700186,201.612411036405
"826","gene-ACX60_RS04185_ACX60_RS04185",0,1,0.351959091807685,0.351382682855929,"D Over L",617.712261619675,563.628621754177,587.25957387012,246.718979630471,222.53228321495,152.184852201673
"830","gene-ACX60_RS04205_ACX60_RS04205",0,1,3.34290144228754,3.37019114450992,"D Over L",50.3807872952217,29.7822257201679,54.8650812958244,132.298583280108,158.951630867822,163.89137929411
"839","gene-ACX60_RS04250_ACX60_RS04250",4.91424027228016e-05,0.999950857597277,2.65414991250196,2.65602984043444,"D Over L",502.347560276993,404.293714151279,477.529411278472,948.735786405096,1079.69367041328,1648.01886956855
"856","gene-ACX60_RS04335_ACX60_RS04335",5.56318083155816e-07,0.999999443681917,0.473951669997818,0.473805468876236,"D Over L",1872.12084963693,1681.95119754648,2106.20950974526,973.765248106738,1127.96786941758,580.123453691849
