"","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS00500_ACX60_RS00500",281.28512574853,263.375389075268,259.453260707901,248.600729761712,273.6035454174,281.214658006733
"gene-ACX60_RS00505_ACX60_RS00505",39.0048707704629,30.744208841471,31.9873883064536,38.8872649906588,35.0428186248887,48.2513086124154
"gene-ACX60_RS00510_pncB",794.34919511385,1046.32790757139,1128.44397636656,1136.06367008425,1306.01889413528,1188.18847458073
"gene-ACX60_RS00515_ACX60_RS00515",260.282503025973,412.997205437093,374.963274036761,469.424841672953,500.034065762835,438.785337694152
"gene-ACX60_RS00520_asd",599.324841261535,687.645471087567,589.989606541254,580.531313074835,538.446386178578,582.785336834329
"gene-ACX60_RS00525_ACX60_RS00525",1866.23304763292,2543.57087815103,2423.93320277793,2108.24529485072,1454.95087329105,1639.03663942798
"gene-ACX60_RS00530_phoR",919.614837780529,402.749135823269,463.817130443577,433.315238467341,501.381866479177,452.356018241394
"gene-ACX60_RS00535_phoB",3301.16223578475,612.834562906654,636.193611872798,576.364820397264,646.944343844099,575.24606986364
"gene-ACX60_RS00540_ACX60_RS00540",129.766204678655,109.654344867913,106.624627688179,145.82724371497,167.801189184563,122.136124925176
"gene-ACX60_RS00545_ACX60_RS00545",429.053578475092,356.632822561063,339.421731474035,333.319414205647,414.448720275126,343.036647166391
"gene-ACX60_RS00550_ACX60_RS00550",396.049457053931,569.792670528595,527.791907056484,548.588202546794,462.969546063433,491.560206488982
"gene-ACX60_RS00555_ACX60_RS00555",1123.6403156568,960.244122815276,1002.27150026888,1077.73277259826,554.619994774681,721.507849095024
"gene-ACX60_RS00560_ACX60_RS00560",1158.89471808395,1012.50927784578,737.487008176568,736.08037303747,588.988913041399,595.602090684502
"gene-ACX60_RS00565_ACX60_RS00565",1136.39190802406,710.191224237979,433.606819265259,543.0328789767,314.711467265827,355.099474319494
"gene-ACX60_RS00570_ACX60_RS00570",594.074185580896,471.411202235888,367.854965524216,451.370040070147,379.405901650237,395.81151596122
"gene-ACX60_RS00575_gshA",1018.62720204401,913.103002591687,1046.69842847229,1054.12264742536,1025.67634513617,1075.09947002038
"gene-ACX60_RS00580_ACX60_RS00580",470.308730251543,355.608015599681,355.415425627262,363.873693841164,328.863374787417,424.460730449841
"gene-ACX60_RS00585_ACX60_RS00585",709.588610554959,396.600294054975,549.116832594119,534.699893621558,710.964877870338,646.869106085194
"gene-ACX60_RS00590_ACX60_RS00590",51.0063694690668,45.0915063008241,28.4332340501809,37.4984340981353,35.0428186248887,46.7434552182774
"gene-ACX60_RS00605_ACX60_RS00605",231.028849948126,406.848363668799,545.562678337847,422.204591327153,590.33671375774,508.900520521568
"gene-ACX60_RS00610_ACX60_RS00610",38.2547771018001,117.852800558972,104.847550560042,76.3856990887941,92.9982494275893,92.7329837394858
"gene-ACX60_RS00615_ACX60_RS00615",11.2514050299412,15.3721044207355,31.9873883064536,24.9989560654235,19.5431103869572,21.8638742150007
"gene-ACX60_RS00630_ACX60_RS00630",43.5054327824394,50.2155411077359,81.7455478942702,52.7755739158941,73.4551390406321,62.5759158567262
"gene-ACX60_RS00635_ACX60_RS00635",21.0026227225569,11.272876575206,26.6561569220446,9.7218162476647,26.9560143268375,42.2198950358635
"gene-ACX60_RS00640_ACX60_RS00640",287.285875097832,364.831278252122,424.721433624578,433.315238467341,574.163105161638,506.638740430361
"gene-ACX60_RS00645_ACX60_RS00645",210.776320894232,214.184654928914,167.045250044813,229.157097266382,210.930812107503,237.486909576732
"gene-ACX60_RS00650_parE",693.086549844379,1154.95744547793,1327.47661471782,1376.33141449082,1211.67284399134,1155.76962660676
"gene-ACX60_RS00655_ACX60_RS00655",39.7549644391256,40.9922784552946,71.0830851254523,55.5532357009411,76.1507404733158,55.0366488860363
"gene-ACX60_RS00660_alc",82.5103035529022,89.1582056402658,79.9684707661339,104.162316939265,90.3026479949055,84.4397900717269
"gene-ACX60_RS00665_hpxO",26.2532784031962,27.6697879573239,17.7707712813631,22.2212942803765,29.6516157595212,24.8795810032767
"gene-ACX60_RS00670_ACX60_RS00670",370.546272319397,252.102512500062,238.128335170265,308.320458140223,803.963127297927,702.659681668299
"gene-ACX60_RS00675_ACX60_RS00675",170.271262786444,160.894692937031,140.389093122768,137.494258359829,95.0199505021021,116.858638045693
"gene-ACX60_RS00680_uraH",24.7530910658707,29.7194018800886,24.8790797939083,13.8883089252353,17.5214093124444,19.6020941237937
"gene-ACX60_RS00685_uraD",16.5020607105805,16.3969113821178,21.3249255376357,13.8883089252353,16.1736085961025,15.8324606384488
"gene-ACX60_RS00690_puuE",43.5054327824394,45.0915063008241,63.9747766129071,70.8303755187,60.6510322353843,61.0680624625882
"gene-ACX60_RS00695_ACX60_RS00695",9915.48820605286,12763.9707040174,16047.0064670709,19457.5208042546,10840.3611615377,13793.8428495742
"gene-ACX60_RS00700_ACX60_RS00700",1014.12664003203,876.209951981922,900.978103965109,865.241646042158,705.573675004971,781.068058163474
"gene-ACX60_RS00705_ACX60_RS00705",2149.76845438744,2297.61720741926,2646.06784379496,2613.77973972928,1722.48931548491,1849.38218791023
"gene-ACX60_RS00710_dsbD",1017.87710837535,1410.13437886213,1384.34308281818,1201.33872203285,945.482202513824,991.413606645722
"gene-ACX60_RS00715_ACX60_RS00715",100.512551600808,189.589287855738,167.045250044813,156.937890855159,164.431687393709,171.89528693173
"gene-ACX60_RS00720_ACX60_RS00720",1234.65417861888,636.405123018449,438.938050649668,380.539664551447,282.364250073622,331.727746710356
"gene-ACX60_RS00725_ACX60_RS00725",2266.78306669882,2332.46064410626,2802.45063107096,2954.04330839754,2403.12867723756,2187.89527489421
"gene-ACX60_RS00730_ACX60_RS00730",284.285500423181,341.260718140328,373.186196908625,498.590290415947,343.689182667178,428.984290632255
"gene-ACX60_RS00735_xth",552.068940135782,364.831278252122,508.244058646984,530.533400943988,566.076300863587,542.827221889673
"gene-ACX60_RS00740_pyrE",266.283252375275,245.953670731768,294.994803270627,301.376303677606,320.776570489366,318.157066163114
"gene-ACX60_RS00745_ACX60_RS00745",3.75046834331374,3.0744208841471,1.77707712813631,5.55532357009411,6.06510322353843,3.76963348534495
"gene-ACX60_RS00750_ACX60_RS00750",33.0041214211609,44.0666993394417,78.1913936379976,31.9431105280412,95.693850860273,80.670156586382
"gene-ACX60_RS00755_ACX60_RS00755",20.2525290538942,47.1411202235888,67.5289308691797,81.9410226588882,69.4117368916065,88.9633502541408
"gene-ACX60_RS00760_gshB",721.590109253563,576.966319258271,762.366087970476,777.745299813176,654.357247783979,688.335074423988
"gene-ACX60_RS00765_murG",606.0756842795,646.653192632272,748.149470945386,801.355424986076,762.8552054495,686.82722102985
"gene-ACX60_RS00770_murC",888.860997365356,1312.77771753081,1675.78373183254,1844.36742527125,1376.10453138505,1527.45548826177
"gene-ACX60_RS00775_ACX60_RS00775",1170.89621678255,1447.0274294719,1665.12126906372,1534.6581362385,1444.84236791849,1415.12041039849
"gene-ACX60_RS00780_ACX60_RS00780",575.321843864328,771.679641920921,762.366087970476,733.302711252423,834.28864341562,761.46596403968
"gene-ACX60_RS00785_ftsA",1842.23005023571,1749.3454830797,1901.47252710585,2109.63412574324,2232.63188662031,2240.67014368904
"gene-ACX60_RS00790_ftsZ",4849.35556790466,6352.77835360928,6546.75214005416,6242.79486189326,6112.27624861039,5880.62823713812
"gene-ACX60_RS00795_lpxC",865.608093636811,437.59257251027,382.071582549306,394.427973476682,383.449303799263,490.806279791913
"gene-ACX60_RS00800_ACX60_RS00800",945.868116183725,510.353866768418,350.084194242853,377.7620027664,479.143154659536,394.303662567082
"gene-ACX60_RS00805_ACX60_RS00805",2596.82428091043,1055.55117022384,687.728848588751,647.195195915964,633.46633668068,632.544498840883
"gene-ACX60_RS00810_aceE",14742.3409638976,15341.360211894,16043.4523128146,14627.1669600578,13862.8042679343,13645.3192902517
"gene-ACX60_RS00815_ACX60_RS00815",9776.72087735025,14501.0185035605,11487.0265562731,11535.6293933004,10035.0502335234,9535.66486452859
"gene-ACX60_RS00820_ACX60_RS00820",39.0048707704629,42.017085416677,33.7644654345899,13.8883089252353,31.673316834034,30.1570678827596
"gene-ACX60_RS00825_ACX60_RS00825",196.52454118964,86.0837847561187,106.624627688179,131.938934789735,163.757787035538,161.340313172764
"gene-ACX60_RS00830_ACX60_RS00830",289.536156103821,171.142762550855,326.982191577081,218.046450126194,496.66456397198,476.481672547602
