"","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"gene-ACX60_RS00680_uraH",13.8913031554414,22.3583369547455,22.3244354149826,13.1064428077884,11.776287596173,7.79216554866991
"gene-ACX60_RS00685_uraD",19.740272905101,17.8866695637964,24.3539295436174,20.2554116120366,20.0196889134941,14.2856368392282
"gene-ACX60_RS00690_puuE",67.2631521210849,58.1316760823384,56.8258356017739,79.8301516474383,60.0590667404822,59.739935873136
"gene-ACX60_RS00695_ACX60_RS00695",12292.3410501283,9037.23979710814,15567.2347136931,8240.37804169676,8835.74858340858,2276.61103446973
"gene-ACX60_RS00700_ACX60_RS00700",758.17270379962,905.512646667194,758.016057045092,540.938639521447,515.801396712376,594.801970215137
"gene-ACX60_RS00705_ACX60_RS00705",1948.43804785534,1612.03609443715,2131.98358213084,1377.36798961849,1481.45697959856,1489.60231405407
"gene-ACX60_RS00710_dsbD",1082.05940368702,901.786257174737,1037.07149973237,917.450996545186,845.53744940522,1111.68228494357
"gene-ACX60_RS00715_ACX60_RS00715",143.299758866659,172.159194551541,148.153071390339,182.298704508329,144.848337432928,168.830253554515
"gene-ACX60_RS00720_ACX60_RS00720",568.081186935684,1177.5390796166,583.4795619825,332.427049397542,297.940076183176,174.025030586961
"gene-ACX60_RS00725_ACX60_RS00725",2232.84420193253,1660.4791578391,2280.13665352118,2191.15893850207,2682.6383144082,631.165409442263
"gene-ACX60_RS00730_ACX60_RS00730",255.161305328898,236.998371720303,260.78999552957,269.277824960016,332.091310212078,337.66050710903
"gene-ACX60_RS00735_xth",335.584639386717,439.713960109995,358.205713704039,431.321117856308,393.328005712177,624.671938151705
"gene-ACX60_RS00740_pyrE",237.614396079919,196.753365201761,257.745754336617,246.639423746563,233.170494404225,546.750282665006
"gene-ACX60_RS00745_ACX60_RS00745",3.65560609353722,5.96222318793214,6.08848238590435,8.34046360495624,4.71051503846919,7.79216554866991
"gene-ACX60_RS00750_ACX60_RS00750",52.640727746936,46.9525076049656,49.7226061515522,160.851798095585,111.874732163643,227.271495169539
"gene-ACX60_RS00755_ACX60_RS00755",44.5983943411541,20.8677811577625,47.6931120229174,65.5322140389419,56.5261804616303,64.9347129055826
"gene-ACX60_RS00760_gshB",491.313458971402,551.505644883723,554.051897117296,474.214930681798,500.492222837351,703.892287896516
"gene-ACX60_RS00765_murG",607.561732745886,674.476498134824,632.187421069735,629.109254773842,693.623339414588,853.242127579356
"gene-ACX60_RS00770_murC",1388.39919432544,1045.6248915836,1204.50476534474,1134.30305027405,1242.39834139625,1636.35476522068
"gene-ACX60_RS00775_ACX60_RS00775",1299.93352686184,1199.89741657134,1200.44577708747,1236.77160313494,1297.74689309826,1403.8884930187
"gene-ACX60_RS00780_ACX60_RS00780",611.217338839423,582.807316620367,585.509056111135,726.811828431901,687.735195616502,798.696968738666
"gene-ACX60_RS00785_ftsA",1589.45752946998,1699.97888645915,1480.51596683907,2113.71177645605,1986.65971747438,2559.72638273807
"gene-ACX60_RS00790_ftsZ",5566.75695923848,4416.51682646073,5916.99013203471,5290.23691514367,5415.91466547995,4574.00117706924
"gene-ACX60_RS00795_lpxC",481.077761909498,848.126248483347,487.078590872348,565.960030336316,553.48551702013,789.606108931885
"gene-ACX60_RS00800_ACX60_RS00800",523.48279259453,878.682642321499,542.889679409804,595.747400354017,630.031386395254,718.177924735744
"gene-ACX60_RS00805_ACX60_RS00805",1108.37976756049,2299.18231684633,1155.79690625751,977.025736580588,957.412181568863,919.47553474305
"gene-ACX60_RS00810_aceE",13965.8775197496,11894.6352599246,14672.2278029652,10887.87948887,11053.223537768,13594.7314939128
"gene-ACX60_RS00815_ACX60_RS00815",10874.6970070545,7517.61816208394,13003.9836292274,7365.82085797707,8097.37535112854,9392.15687466347
"gene-ACX60_RS00820_ACX60_RS00820",29.2448487482978,32.7922275336268,31.4571589938391,26.2128856155767,30.6183477500497,20.7791081297864
"gene-ACX60_RS00825_ACX60_RS00825",171.082365177542,116.263352164677,154.241553776244,277.618288564972,236.703380683077,276.621876977782
"gene-ACX60_RS00830_ACX60_RS00830",208.369547331622,215.385312664049,175.551242126909,561.194051133484,396.860891991029,1167.52613804238
"gene-ACX60_RS00835_ACX60_RS00835",138.913031554414,182.593085130422,149.167818454657,182.298704508329,181.354828981064,171.427642070738
"gene-ACX60_RS00840_ACX60_RS00840",42.4050306850318,55.1505644883723,47.6931120229174,41.7023180247812,47.1051503846919,33.766050710903
"gene-ACX60_RS00845_guaB",8115.44552765263,7776.97487075899,7645.10438256723,4184.52974008662,5279.30972936434,5723.34559549805
"gene-ACX60_RS00850_glmM",2535.52838647742,1873.62863680768,2508.45474299259,2235.24424612827,2251.62618838827,2259.72800911428
"gene-ACX60_RS00855_pdxH",533.718489656434,554.486756477689,582.464814918183,493.278847493126,594.702523606735,667.528848669389
"gene-ACX60_RS00860_recJ",265.397002390802,286.931990919234,210.0526423137,333.61854419825,315.604507577436,444.153436274185
